código_pdv;nome_pdv;razao_social;status;endereco;bairro;cidade;uf;cep;latitude;longitude;created_at;bandeira
17582;17582 - HAVAN - RUA WERNER BATTENFELD - 269 - OSASCO - SP;7,94E+13;1;;PRESIDENTE ALTINO;OSASCO;SP;6210170;-23.524.455;-46.764.015;2026-02-09 21:05:02.780508+00;HAVAN
15458;15458 - REGIONAL SUL - HAVAN - 0168 - SUMARE - VILA SANTA TEREZINHA - SP;7,94E+13;1;;VILA SANTA TEREZINHA;SUMARE;SP;13174405;-228.131.543;-472.573.619;2026-02-09 21:05:02.780508+00;HAVAN
1939;01939 - ANGELONI - RUA HUMBERTO DE CAMPOS - 77 - BLUMENAU - SC;8,36E+13;1;;VELHA;BLUMENAU;SC;89036050;-2.691.299;-4.908.141;2026-02-09 21:05:02.063994+00;ANGELONI
47130;47130 - COLOMBO - RUA ITALIA - 334 - FAZENDA RIO GRANDE - PR;8,98E+13;1;;NACOES;FAZENDA RIO GRANDE;PR;83823020;-2.565.256;-4.930.862;2026-02-09 21:05:02.576155+00;COLOMBO
87272;87272 - COLOMBO - RUA 11 DE NOVEMBRO - 2404 - MASSARANDUBA - SC;8,98E+13;1;;;MASSARANDUBA;SC;89108000;-2.661.475;-4.901.039;2026-02-09 21:05:01.598207+00;COLOMBO
71864;71864 - COLOMBO - RUA PROFESSORA AMAZILIA - 250 - UNIAO DA VITORIA - PR;8,98E+13;1;;CENTRO;UNIAO DA VITORIA;PR;84600285;-2.623.184;-5.108.758;2026-02-09 21:05:02.576155+00;COLOMBO
32451;32451 - COLOMBO - AVENIDA PRESIDENTE VARGAS - 1646 - ESTEIO - RS;8,98E+13;1;;CENTRO;ESTEIO;RS;93260048;-2.984.566;-5.117.409;2026-02-09 21:05:01.947218+00;COLOMBO
3174;03174 - LIDER - AVENIDA BATISTA CAMPOS CONJUNTO 32 QUADRA 257 LOTE 1 - SN - BARCARENA - PA;5,05E+12;1;;NUCLEO URBANO;BARCARENA;PA;68447000;-15.125.918;-486.911.646;2026-02-09 21:05:02.384876+00;LIDER
17400;17400 - REGIONAL SUL - HAVAN - DIADEMA - PLANALTO - SP;7,94E+13;1;;PLANALTO;SAO BERNARDO DO CAMPO;SP;9891002;-2.369.046;-4.657.926;2026-02-09 21:05:02.780508+00;HAVAN
74456;74456 - COLOMBO - RUA TUIUTI - 2210 - JOINVILLE - SC;8,98E+13;1;;AVENTUREIRO;JOINVILLE;SC;89226000;-262.537;-4.881.923;2026-02-09 21:05:02.694969+00;COLOMBO
